PROFILE_ID,MONTH_BALANCE,BEGINNING_TOTAL_HOLDINGS_GBP,END_TOTAL_HOLDINGS_GBP,BEGINNING_EQUITY_GBP,END_EQUITY_GBP,BEGINNING_INTEREST_GBP,END_INTEREST_GBP
41413666,2023-06-01,,0,,,,
35498752,2023-01-01,,0,,,,
35380517,2023-01-01,,3101,,,,
35502226,2023-01-01,,1500,,,,
35638291,2023-05-01,0,0,,,,
35515258,2023-01-01,,0,,,,
35424910,2023-05-01,0,0,,,,
36375632,2023-05-01,"296,53","622,24",,,,
37498647,2023-04-01,"16683,08","20365,18",,,,
38651070,2023-04-01,,0,,,,
37170133,2023-06-01,"14,67","14,67",,,,
36608041,2023-02-01,,325,,,,
36291750,2023-06-01,0,0,,,,
40855656,2023-06-01,,"5,9",,,,
40912668,2023-06-01,,"0,58",,,,
39038353,2023-06-01,"24,09","24,09",,,,
38140234,2023-06-01,20,20,,,,
39149650,2023-05-01,0,0,,,,
39470460,2023-06-01,0,0,,,,
36405079,2023-04-01,0,0,,,,
35379523,2023-06-01,1,1,,,,
39937258,2023-06-01,"0,9","0,9",,,,
35429345,2023-02-01,5600,"6913,88",,,,
40421055,2023-06-01,"0,09","0,09",,,,
40665681,2023-06-01,,"39,78",,,,
37902824,2023-04-01,"42151,25","25128,49",,,,
36324838,2023-03-01,"639,69","634,1",,,,
36827924,2023-04-01,0,0,,,,
38542713,2023-04-01,,"3,41",,,,
37792731,2023-03-01,,"2,47",,,,
35779070,2023-05-01,"0,14","1,67",,,,
38757350,2023-06-01,1,1,,,,
39920010,2023-06-01,320,0,,,,
40266743,2023-06-01,0,0,,,,
41264274,2023-06-01,,0,,,,
35447549,2023-06-01,0,0,,,,
35352779,2023-02-01,"3,19","3,25",,,,
36190838,2023-04-01,"0,3","1,62",,,,
39338786,2023-06-01,50,50,,,,
39482075,2023-06-01,0,0,,,,
37943957,2023-06-01,"411,91","227,87",,,,
40931807,2023-06-01,,0,,,,
36523031,2023-06-01,"39,35","39,35",,,,
35380517,2023-02-01,3101,875,,,,
38710789,2023-04-01,,0,,,,
36051501,2023-06-01,"2634,68","2462,91",,,,
39013180,2023-06-01,"430,01","723,77",,,,"712,77"
36101685,2023-06-01,0,0,,,,
39307035,2023-06-01,"8802,37",0,,,,
40853344,2023-06-01,,"0,6",,,,
36124572,2023-02-01,"7,05","6,95",,,,
36188114,2023-02-01,,20,,,,
35727328,2023-03-01,20,"31,65",,,,
36636134,2023-03-01,0,0,,,,
36565926,2023-04-01,"141,46","158,3",,,,
35650400,2023-03-01,"6716,17","8792,49",,,,
35652475,2023-05-01,1,1,,,,
38279895,2023-04-01,"87,67","24,95",,,,
35554331,2023-03-01,"308,14","2776,72",,,,
37331312,2023-05-01,"37,18","37,18",,,,
38167581,2023-03-01,,0,,,,
38022916,2023-04-01,0,0,,,,
39492035,2023-05-01,,0,,,,
39332723,2023-05-01,,2,,,,
36467579,2023-04-01,"3,4","0,65",,,,
36829447,2023-04-01,"595,82","691,27",,,,
37018267,2023-06-01,0,0,,,,
39622199,2023-06-01,0,"21954,62",,,,
39033735,2023-05-01,,20,,,,
37160316,2023-02-01,,1000,,,,
36334083,2023-03-01,"3671,35","5519,02",,,,
37452152,2023-06-01,20,20,,,,
39673303,2023-06-01,0,"1,92",,,,
37111298,2023-02-01,,0,,,,
35791328,2023-01-01,,"10,04",,,,
37775170,2023-05-01,"0,38","0,38",,,,
37627207,2023-03-01,,"66124,48",,,,
39874784,2023-05-01,,0,,,,
35833222,2023-03-01,"0,08","0,08",,,,
36366196,2023-05-01,0,0,,,,
36457534,2023-03-01,"1,05","7,95",,,,
37388386,2023-05-01,10,10,,,,
35844973,2023-04-01,0,0,,,,
37384949,2023-05-01,20,20,,,,
36563417,2023-05-01,0,0,,,,
37631489,2023-04-01,0,0,,,,
39580083,2023-05-01,,"885,86",,,,
35372379,2023-01-01,,"3,23",,,,
37795036,2023-06-01,"7,28","5,88",,,,
39647261,2023-06-01,0,0,,,,
37452073,2023-03-01,,"356,62",,,,
35784147,2023-04-01,"186,9","186,9",,,,
35423163,2023-02-01,"101,65","101,06",,,,
36921276,2023-03-01,13,0,,,,
37875274,2023-05-01,"138,67","138,86",,,,
35655371,2023-02-01,"2,1","1,74",,,,
37625471,2023-05-01,0,0,,,,
37720434,2023-03-01,,"223,19",,,,
37457472,2023-05-01,0,0,,,,
38181655,2023-04-01,20,0,,,,
39594003,2023-05-01,,"45,14",,,,
36887093,2023-03-01,0,0,,,,
37818490,2023-04-01,0,0,,,,
35359514,2023-02-01,20,0,,,,
37394722,2023-04-01,20,20,,,,
35789283,2023-05-01,0,0,,,,
36203804,2023-02-01,0,0,,,,
36038802,2023-05-01,"0,19","0,19",,,,
35519792,2023-04-01,0,0,,,,
39169115,2023-06-01,"0,9","0,9",,,,
40581817,2023-06-01,,"0,02",,,,
35801139,2023-06-01,0,0,,,,
37280912,2023-06-01,0,0,,,,
38020512,2023-06-01,"3,4","3,4",,,,
37960947,2023-03-01,,"262,91",,,,
39725323,2023-05-01,,0,,,,
35584811,2023-03-01,0,0,,,,
37288057,2023-05-01,20,20,,,,
35703963,2023-03-01,"467,05","183,55",,,,
36014275,2023-05-01,"2,59","2,57",,,,
38810572,2023-04-01,,"222,09",,,,
37658653,2023-03-01,,"0,01",,,,
37266501,2023-04-01,"8,12","322,3",,,,
35828803,2023-03-01,"479,09","628,41",,,,
37485965,2023-04-01,"14,89","5,69",,,,
36176651,2023-03-01,"73842,84","348,85",,,,
40304681,2023-05-01,,20,,,,
38912132,2023-06-01,20,20,,,,
35518317,2023-05-01,0,0,,,,
40224043,2023-05-01,,"24,92",,,,
35638197,2023-05-01,"43,58","0,34",,,,
36395236,2023-02-01,,0,,,,
36468576,2023-04-01,"15,71","10,06",,,,
36358252,2023-03-01,20,20,,,,
37821897,2023-05-01,,10,,,,
38019369,2023-04-01,0,0,,,,
39664918,2023-06-01,0,"231,84",,,,
37936665,2023-05-01,0,"3,58",,,,
38466643,2023-05-01,"0,77","1,8",,,,
35490769,2023-05-01,"0,78","3,55",,,,
39009651,2023-04-01,,0,,,,
36130797,2023-02-01,13,13,,,,
36231953,2023-06-01,0,0,,,,
38647543,2023-05-01,"80,29","80,29",,,,
36636774,2023-05-01,0,0,,,,
35911392,2023-01-01,,13,,,,
37991218,2023-03-01,,"13,16",,,,
37330751,2023-06-01,"675,23","687,28",,,,
37472913,2023-06-01,296,"2,55",,,,
40360183,2023-06-01,0,0,,,,
41144831,2023-06-01,,45,,,,
39364299,2023-04-01,,"9,97",,,,
39150366,2023-05-01,0,0,,,,
35779788,2023-04-01,5,5,,,,
38560329,2023-04-01,,"99,92",,,,
36901108,2023-03-01,"65,84","38,69",,,,
38897287,2023-05-01,"17,01",0,,,,
35754327,2023-02-01,"0,05","0,01",,,,
35903671,2023-02-01,"0,01","0,01",,,,
37754552,2023-04-01,0,0,,,,
36617079,2023-05-01,"0,74","0,74",,,,
38571970,2023-06-01,"136,93","136,93",,,,
40414828,2023-06-01,,"0,03",,,,
41082777,2023-06-01,,0,,,,
35861248,2023-05-01,"0,61","0,6",,,,
38370125,2023-04-01,20,20,,,,
37146859,2023-02-01,,0,,,,
36640440,2023-02-01,,"295,98",,,,
36663967,2023-05-01,0,0,,,,
36525322,2023-03-01,832,"1272,44",,,,
37248964,2023-03-01,3,3,,,,
35419475,2023-03-01,7530,7530,,,,
36157137,2023-02-01,13,"5,36",,,,
35809537,2023-05-01,0,0,,,,
35749155,2023-04-01,"4,26","52,11",,,,
36607082,2023-05-01,0,0,,,,
36065473,2023-04-01,0,0,,,,
35752698,2023-03-01,"10,99","10,72",,,,
36051292,2023-02-01,"6611,75","6806,5",,,,
37597686,2023-05-01,"21,11","3,7",,,,
36387348,2023-06-01,"119,72","118,91",,,,
35660388,2023-06-01,"3,73","0,69",,,,
36021288,2023-06-01,1,1,,,,
38875990,2023-06-01,"3,5","16,1",,,,
41031507,2023-06-01,,"1403,33",,,,
